ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10405,0,0,0,0,0,0,0,0,0,0
10406,20,0,17,10,18,14,2,10,0,0
10407,0,2,32,0,0,0,0,0,0,0
10408,0,0,0,0,0,0,0,0,0,0
10409,18,10,0,0,14,14,0,0,15,10
10410,0,0,0,0,0,0,0,0,0,0
10411,0,0,0,0,0,0,0,0,0,0
10412,0,0,0,0,0,0,0,0,0,0
10413,0,0,0,0,0,0,0,0,0,0
10414,0,0,0,0,0,0,0,0,0,0
10415,0,0,0,0,0,0,0,0,0,0
10416,0,0,0,0,0,0,0,0,0,0
10417,0,0,0,0,0,0,0,0,0,0
10418,0,0,0,0,0,0,0,0,0,0
10419,18,18,18,18,18,18,18,18,18,18
10420,0,0,0,0,0,0,0,0,0,0
10421,0,0,0,0,0,0,0,0,0,0
10422,0,0,0,0,0,0,0,0,0,0
10423,0,0,26,0,8,32,13,18,14,0
10424,0,13,0,15,0,0,12,0,39,13
10425,0,22,0,0,20,0,0,0,0,0
10426,0,0,0,0,0,0,0,0,0,0
10427,0,0,0,0,0,0,0,0,0,0
10428,18,18,18,18,18,18,18,18,18,18
10429,13,13,13,13,13,13,13,13,13,13
10430,0,0,0,0,0,0,5,0,0,0
10431,0,0,0,0,0,0,0,0,0,0
10432,0,0,0,0,0,0,0,0,0,0
10433,0,0,0,0,0,0,0,0,0,0
10434,0,0,0,0,0,0,0,0,0,0
10435,10,21,10,10,10,10,10,10,10,10
10436,0,0,0,0,0,0,0,0,0,0
10437,0,0,0,0,0,0,0,27,24,0
10438,41,41,41,41,41,41,41,41,41,41
10439,28,0,11,17,0,5,0,0,30,8
10440,0,0,0,0,0,0,0,0,0,0
10441,0,0,0,0,16,0,0,0,0,0
10442,0,0,0,0,0,0,0,0,0,0
10443,0,0,0,0,0,0,0,0,0,0
10444,0,0,0,0,0,0,0,0,0,0
10445,22,0,0,26,0,0,0,21,0,0
10446,0,0,0,0,0,0,0,0,0,0
10447,0,0,0,0,0,0,0,0,0,0
10448,0,0,0,0,0,0,0,0,0,0
10449,0,0,0,0,0,0,0,0,0,0
10450,27,27,27,27,27,27,27,27,27,27
10451,0,0,0,0,18,0,0,0,0,0
10452,2,2,2,2,2,2,2,2,2,2
10453,15,15,15,15,15,26,15,15,15,15
10454,0,0,0,0,0,0,0,0,0,19
10455,17,17,17,17,17,17,17,17,17,17
10456,9,9,9,9,9,9,9,9,9,9
10457,3,3,3,3,3,3,3,3,3,3
10458,20,20,20,20,20,20,20,20,20,20
10459,0,0,0,0,0,0,0,0,22,0
10460,0,0,0,0,0,0,0,0,0,0
10461,0,0,0,0,0,0,0,0,0,0
10462,22,22,22,22,22,22,22,22,22,22
10463,0,0,0,0,0,0,0,19,0,0
10464,15,0,0,0,0,0,15,0,0,0
10465,9,0,0,0,0,13,10,0,0,0
10466,6,6,6,6,6,6,6,6,6,6
10467,0,0,0,0,0,0,0,0,0,0
10468,0,0,0,0,0,0,0,0,0,0
10469,0,0,0,6,0,0,13,18,0,0
10470,0,0,0,0,0,0,0,0,0,0
10471,16,17,31,13,25,21,15,24,10,18
10472,0,17,0,0,0,0,0,0,0,0
10473,0,0,0,0,0,0,0,0,0,0
10474,0,0,0,0,0,0,0,0,0,0
10475,0,0,0,0,0,0,0,31,0,0
10476,0,0,0,0,0,0,0,0,0,0
10477,14,0,0,18,0,0,0,0,0,0
10478,25,8,10,7,21,37,29,4,9,8
10479,11,11,11,11,11,11,11,11,11,11
10480,0,28,0,0,14,0,22,16,13,0
10481,0,0,0,0,0,0,0,16,0,0
10482,0,0,0,0,0,0,0,0,0,0
10483,37,37,37,37,37,37,37,37,37,37
10484,0,0,0,0,0,0,0,0,0,0
10485,0,0,0,0,0,0,0,0,0,0
10486,13,15,17,9,17,17,17,16,10,27
10487,7,0,0,0,0,11,0,0,0,0
10488,14,14,14,14,14,14,14,14,14,14
10489,19,19,19,19,19,19,19,19,19,19
10490,9,0,8,0,15,0,22,0,9,15
10491,0,0,0,0,0,0,0,0,0,0
10492,11,14,21,0,0,11,23,6,8,22
10493,24,24,24,24,24,24,24,24,24,24
10494,0,0,0,0,0,0,0,0,0,0
10495,0,0,0,0,0,0,0,0,5,0
10496,0,0,24,0,0,0,0,18,0,0
10497,6,6,6,6,6,6,6,8,6,6
10498,0,0,0,0,0,0,0,0,0,0
10499,22,22,22,22,22,22,22,22,22,22
10500,0,0,0,0,0,0,0,0,0,0
10501,30,30,30,30,30,30,30,30,30,30
10502,0,0,0,0,0,0,0,0,0,0
10503,0,0,0,0,0,0,0,0,0,0
10504,21,21,21,21,21,21,21,21,21,21
10505,0,0,0,0,0,0,0,0,0,0
10506,24,24,24,24,24,24,24,24,24,24
10507,25,3,19,19,13,18,13,14,16,24
10508,0,0,0,0,0,0,0,0,0,0
10509,6,0,0,21,0,6,0,0,11,21
10510,1,2,1,1,1,1,1,1,1,1
10511,15,15,15,15,15,15,15,15,15,15
10512,0,0,0,0,0,0,0,0,0,0
10513,0,0,0,0,0,0,0,0,0,0
10514,0,0,0,0,0,0,11,0,11,0
10515,29,29,29,29,29,29,29,29,29,29
10516,0,0,0,0,18,0,12,0,16,6
10517,0,0,0,0,0,0,0,0,0,0
10518,0,0,0,8,0,0,0,0,0,0
10519,0,0,0,0,0,0,0,0,0,0
10520,19,19,19,19,19,19,19,19,19,19
10521,23,23,23,23,23,23,23,23,23,23
10522,0,0,19,0,0,0,0,0,0,0
10523,27,0,8,12,0,0,0,0,0,0
10524,0,0,0,0,0,0,0,0,0,0
10525,24,24,24,24,24,24,24,24,24,31
10526,0,0,0,0,0,0,0,0,0,0
10527,0,0,0,0,0,0,0,0,0,0
10528,0,0,0,0,12,0,0,0,0,0
10529,0,0,0,0,0,0,0,0,0,0
10530,0,0,0,0,0,26,0,0,0,0
10531,0,0,0,0,16,0,0,17,0,0
10532,0,0,0,0,0,0,16,25,0,0
10533,0,0,0,0,0,0,0,0,0,0
10534,0,0,0,0,0,0,0,0,0,0
10535,14,14,14,14,14,14,14,14,14,14
